id,final_status,category,subject,path,line,confidence,risk,proof_eligible,loc,bytes,status_reason
CRT-044,REVIEW,orphan-file,apps/web/src/components/ui/frame.tsx,apps/web/src/components/ui/frame.tsx,,high,low,True,87,1991,"Strong alias-aware static evidence, but no approved disposable-copy test/build/typecheck proof has run."
CRT-045,REVIEW,orphan-file,apps/web/src/components/ui/group.tsx,apps/web/src/components/ui/group.tsx,,high,low,True,92,4883,"Strong alias-aware static evidence, but no approved disposable-copy test/build/typecheck proof has run."
CRT-049,REVIEW,orphan-file,apps/web/src/components/ui/kbd.tsx,apps/web/src/components/ui/kbd.tsx,,high,low,True,31,769,"Strong alias-aware static evidence, but no approved disposable-copy test/build/typecheck proof has run."
CRT-051,REVIEW,orphan-file,apps/web/src/components/ui/menu.tsx,apps/web/src/components/ui/menu.tsx,,high,low,True,352,12377,"Strong alias-aware static evidence, but no approved disposable-copy test/build/typecheck proof has run."
CRT-052,REVIEW,orphan-file,apps/web/src/components/ui/meter.tsx,apps/web/src/components/ui/meter.tsx,,high,low,True,80,1704,"Strong alias-aware static evidence, but no approved disposable-copy test/build/typecheck proof has run."
CRT-053,REVIEW,orphan-file,apps/web/src/components/ui/number-field.tsx,apps/web/src/components/ui/number-field.tsx,,high,low,True,158,5829,"Strong alias-aware static evidence, but no approved disposable-copy test/build/typecheck proof has run."
CRT-054,REVIEW,orphan-file,apps/web/src/components/ui/otp-field.tsx,apps/web/src/components/ui/otp-field.tsx,,high,low,True,65,2735,"Strong alias-aware static evidence, but no approved disposable-copy test/build/typecheck proof has run."
CRT-055,REVIEW,orphan-file,apps/web/src/components/ui/pagination.tsx,apps/web/src/components/ui/pagination.tsx,,high,low,True,127,3153,"Strong alias-aware static evidence, but no approved disposable-copy test/build/typecheck proof has run."
CRT-057,REVIEW,orphan-file,apps/web/src/components/ui/preview-card.tsx,apps/web/src/components/ui/preview-card.tsx,,high,low,True,61,2142,"Strong alias-aware static evidence, but no approved disposable-copy test/build/typecheck proof has run."
CRT-059,REVIEW,orphan-file,apps/web/src/components/ui/radio-group.tsx,apps/web/src/components/ui/radio-group.tsx,,high,low,True,42,2054,"Strong alias-aware static evidence, but no approved disposable-copy test/build/typecheck proof has run."
CRT-068,REVIEW,orphan-file,apps/web/src/components/ui/switch.tsx,apps/web/src/components/ui/switch.tsx,,high,low,True,30,1603,"Strong alias-aware static evidence, but no approved disposable-copy test/build/typecheck proof has run."
CRT-069,REVIEW,orphan-file,apps/web/src/components/ui/table.tsx,apps/web/src/components/ui/table.tsx,,high,low,True,151,5393,"Strong alias-aware static evidence, but no approved disposable-copy test/build/typecheck proof has run."
CRT-072,REVIEW,orphan-file,apps/web/src/components/ui/toast.tsx,apps/web/src/components/ui/toast.tsx,,high,low,True,320,15046,"Strong alias-aware static evidence, but no approved disposable-copy test/build/typecheck proof has run."
CRT-073,REVIEW,orphan-file,apps/web/src/components/ui/toggle-group.tsx,apps/web/src/components/ui/toggle-group.tsx,,high,low,True,103,3610,"Strong alias-aware static evidence, but no approved disposable-copy test/build/typecheck proof has run."
CRT-075,REVIEW,orphan-file,apps/web/src/components/ui/toolbar.tsx,apps/web/src/components/ui/toolbar.tsx,,high,low,True,91,2114,"Strong alias-aware static evidence, but no approved disposable-copy test/build/typecheck proof has run."
CRT-568,REVIEW,orphan-file,apps/web/src/components/ai-elements/code-block.tsx,apps/web/src/components/ai-elements/code-block.tsx,,high,low,False,562,13820,"Transitively unreachable, but it must be proved in a multi-file batch with its unreachable parent."
CRT-569,REVIEW,orphan-file,apps/web/src/components/ui/badge.tsx,apps/web/src/components/ui/badge.tsx,,high,low,False,64,2805,"Transitively unreachable, but it must be proved in a multi-file batch with its unreachable parent."
CRT-570,REVIEW,orphan-file,apps/web/src/components/ui/label.tsx,apps/web/src/components/ui/label.tsx,,high,low,False,26,633,"Transitively unreachable, but it must be proved in a multi-file batch with its unreachable parent."
CRT-571,REVIEW,orphan-file,apps/web/src/components/ui/toggle.tsx,apps/web/src/components/ui/toggle.tsx,,high,low,False,46,2358,"Transitively unreachable, but it must be proved in a multi-file batch with its unreachable parent."
CRT-572,REVIEW,stale-script,docs:dev and docs:build scripts in package.json,package.json,20,high,medium,False,2,104,"The target workspace is absent, but the scripts may anticipate a pending docs merge or restoration."
CRT-573,REVIEW,unused-dependency,@opencoredev/loginwithchatgpt-server (apps/web dependency),apps/web/package.json,27,high,medium,False,0,0,"No checked-in usage found, but manifest and lockfile removal has not been proved."
CRT-574,REVIEW,unused-dependency,@polar-sh/better-auth (apps/web dependency),apps/web/package.json,31,high,medium,False,0,0,"No checked-in usage found, but manifest and lockfile removal has not been proved."
CRT-575,REVIEW,unused-dependency,@polar-sh/sdk (apps/web dependency),apps/web/package.json,32,high,medium,False,0,0,"No checked-in usage found, but manifest and lockfile removal has not been proved."
CRT-576,REVIEW,unused-dependency,@tanstack/react-router-ssr-query (apps/web dependency),apps/web/package.json,41,high,medium,False,0,0,"No checked-in usage found, but manifest and lockfile removal has not been proved."
CRT-577,REVIEW,unused-dependency,@tanstack/router-plugin (apps/web dependency),apps/web/package.json,43,high,medium,False,0,0,"No checked-in usage found, but manifest and lockfile removal has not been proved."
CRT-578,REVIEW,unused-dependency,@twind/core (apps/web dependency),apps/web/package.json,44,high,medium,False,0,0,"No checked-in usage found, but manifest and lockfile removal has not been proved."
CRT-579,REVIEW,unused-dependency,@twind/preset-autoprefix (apps/web dependency),apps/web/package.json,45,high,medium,False,0,0,"No checked-in usage found, but manifest and lockfile removal has not been proved."
CRT-580,REVIEW,unused-dependency,@twind/preset-tailwind (apps/web dependency),apps/web/package.json,46,high,medium,False,0,0,"No checked-in usage found, but manifest and lockfile removal has not been proved."
CRT-581,REVIEW,unused-dependency,better-auth (apps/web dependency),apps/web/package.json,48,high,medium,False,0,0,"No checked-in usage found, but manifest and lockfile removal has not been proved."
CRT-582,REVIEW,unused-dependency,cmdk (apps/web dependency),apps/web/package.json,51,high,medium,False,0,0,"No checked-in usage found, but manifest and lockfile removal has not been proved."
CRT-583,REVIEW,unused-dependency,playwright-core (apps/web devDependency),apps/web/package.json,82,high,medium,False,0,0,"No checked-in usage found, but manifest and lockfile removal has not been proved."
CRT-584,REVIEW,unused-dependency,react-day-picker (apps/web dependency),apps/web/package.json,61,high,medium,False,0,0,"No checked-in usage found, but manifest and lockfile removal has not been proved."
CRT-585,REVIEW,unused-dependency,shiki (apps/web dependency),apps/web/package.json,63,high,medium,False,0,0,"No checked-in usage found, but manifest and lockfile removal has not been proved."
